selection_rank,ticker,gics_sector,gics_industry_group,gics_industry,gics_sub_industry
179,FSLR UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
180,FTI UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
181,GAP UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
182,GD UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
183,GE UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
184,GEN UW Equity,Information Technology,Software & Services,Software,Systems Software
185,GILD UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
186,GIS UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
187,GL UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
188,GLW UN Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
189,GME UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail
190,GNW UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
191,GOOGL UW Equity,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
192,GPC UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Distributors,Distributors
193,GS UN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
194,GWW UN Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
195,HAL UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
196,HAR UN Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
197,HAS UW Equity,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
198,HBAN UW Equity,Financials,Banks,Banks,Regional Banks
199,HD UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Home Improvement Retail
200,HES UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
201,HIG UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
202,HOG UN Equity,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers
203,HON UN Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
204,HOT UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
205,HP UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
206,HPQ UN Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
207,HRB UN Equity,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
208,HRL UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
209,HST UN Equity,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
210,HSY UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
211,HUM UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
212,IBM UN Equity,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
213,ICE UN Equity,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
214,IFF UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
215,INTC UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
216,INTU UW Equity,Information Technology,Software & Services,Software,Application Software
217,IP UN Equity,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
218,IPG UN Equity,Communication Services,Media & Entertainment,Media,Advertising
219,IRM UN Equity,Real Estate,Equity Real Estate Investment,Specialized REITs,Other Specialized REITs
220,ISRG UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
221,ITW UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
222,IVZ UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
223,JCI UN Equity,Industrials,Capital Goods,Building Products,Building Products
224,JEF UN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
225,JNJ UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
226,JNPR UN Equity,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
227,JPM UN Equity,Financials,Banks,Banks,Diversified Banks
228,JWN UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
229,K UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
230,KDP UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
231,KEY UN Equity,Financials,Banks,Banks,Diversified Banks
232,KIM UN Equity,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
233,KLAC UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
234,KMB UN Equity,Consumer Staples,Household & Personal Products,Household Products,Household Products
235,KMI UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
236,KMX UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
237,KO UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
238,KR UN Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
239,KSS UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
240,L UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
241,LEG UN Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
242,LEN UN Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
243,LHX UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
244,LLTC UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
245,LLY UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
246,LM UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
247,LMT UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
248,LNC UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
249,LOW UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Home Improvement Retail
250,LRCX UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
251,LUMN UN Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers
252,LUV UN Equity,Industrials,Transportation,Passenger Airlines,Passenger Airlines
253,M UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
254,MA UN Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
255,MAS UN Equity,Industrials,Capital Goods,Building Products,Building Products
256,MAT UW Equity,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
257,MCD UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
258,MCHP UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
259,MCK UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
260,MCO UN Equity,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
261,MDT UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
262,MET UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
263,MJN UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
264,MKC UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
265,MMM UN Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
266,MO UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
267,MOS UN Equity,Materials,Materials,Chemicals,Fertilizers & Agricultural Che
268,MRK UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
269,MRO UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
270,MRSH UN Equity,Financials,Insurance,Insurance,Insurance Brokers
271,MS UN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
272,MSFT UW Equity,Information Technology,Software & Services,Software,Systems Software
273,MSI UN Equity,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
274,MTB UN Equity,Financials,Banks,Banks,Regional Banks
275,MU UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
276,MUR UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
277,MYL UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
278,NBL UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
279,NDAQ UW Equity,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
280,NEE UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
281,NEM UN Equity,Materials,Materials,Metals & Mining,Gold
282,NFLX UW Equity,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
283,NFX UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
284,NI UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
285,NKE UN Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear
286,NOC UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
287,NOV UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
288,NRG UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
289,NSC UN Equity,Industrials,Transportation,Ground Transportation,Rail Transportation
290,NTAP UW Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
291,NTRS UW Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
292,NUE UN Equity,Materials,Materials,Metals & Mining,Steel
293,NVDA UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
294,NWL UN Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties
295,OI UN Equity,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
296,OKE UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
297,OMC UN Equity,Communication Services,Media & Entertainment,Media,Advertising
298,ORLY UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
299,OXY UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
300,PARA UN Equity,Communication Services,Media & Entertainment,Media,Broadcasting
301,PAYX UW Equity,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
302,PBCT UW Equity,Financials,Banks,Banks,Regional Banks
303,PBI UN Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
304,PCAR UW Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
305,PCG UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
306,PCP UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
307,PDCO UW Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
308,PEG UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
309,PEP UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
310,PFE UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
311,PFG UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
312,PG UN Equity,Consumer Staples,Household & Personal Products,Household Products,Household Products
313,PGR UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
314,PH UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
315,PHM UN Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
316,PLD UN Equity,Real Estate,Equity Real Estate Investment,Industrial REITs,Industrial REITs
317,PM UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
318,PNC UN Equity,Financials,Banks,Banks,Diversified Banks
319,PNW UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
320,PPG UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
321,PPL UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
322,PRU UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
323,PSA UN Equity,Real Estate,Equity Real Estate Investment,Specialized REITs,Self-Storage REITs
324,PWR UN Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
325,PXD UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
326,QCOM UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
327,R UN Equity,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
328,RAI UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
329,RF UN Equity,Financials,Banks,Banks,Regional Banks
330,RHI UN Equity,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
331,RHT UN Equity,Information Technology,Software & Services,Software,Systems Software
332,RL UN Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
333,ROK UN Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
334,ROP UN Equity,Information Technology,Software & Services,Software,Application Software
335,ROST UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
336,RRC UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
337,RSG UN Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
338,RTN UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
339,RTX UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
340,RVTY UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
341,SBUX UW Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
342,SCG UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
343,SCHW UN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
344,SEE UN Equity,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
345,SHW UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
346,SIAL UW Equity,Materials,Materials,Chemicals,Specialty Chemicals
347,SJM UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
348,SLB UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
349,SNA UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
350,SO UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
351,SPG UN Equity,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
352,SPGI UN Equity,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
353,SRCL UW Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
354,SRE UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
355,STJ UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
356,STT UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
357,STZ UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
358,SWK UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
359,SWN UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
360,SYK UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
361,SYY UN Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors
362,T UN Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
363,TAP UN Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
